,shop_id,even
0,92567513.0,Odd
1,1657263.0,Odd
2,83401047.0,Odd
3,4259661.0,Odd
4,4350106.0,Even
5,5396214.0,Even
6,6936785.0,Odd
7,7401746.0,Even
8,8255216.0,Even
9,9241878.0,Even
10,10210584.0,Even
11,10634098.0,Even
12,10890907.0,Odd
13,10962177.0,Odd
14,10963980.0,Even
15,11013198.0,Even
16,11041536.0,Even
17,93938252.0,Even
18,11315127.0,Odd
19,11342466.0,Even
20,11487927.0,Odd
21,11719013.0,Odd
22,11722703.0,Odd
23,11752896.0,Even
24,11753035.0,Odd
25,11809607.0,Odd
26,11870800.0,Even
27,12017474.0,Even
28,12158971.0,Odd
29,12404764.0,Even
30,12409383.0,Odd
31,77360186.0,Even
32,76006583.0,Odd
33,17850010.0,Even
34,48046591.0,Odd
35,18254273.0,Odd
36,48908639.0,Odd
37,93179392.0,Even
38,71745024.0,Even
39,56431667.0,Odd
40,13735592.0,Even
41,15607060.0,Even
42,63512637.0,Odd
43,15424243.0,Odd
44,22913974.0,Even
45,39903989.0,Odd
46,59761496.0,Even
47,101633638.0,Even
48,25382138.0,Even
49,64903618.0,Even
50,53879061.0,Odd
51,27512239.0,Odd
52,71975800.0,Even
53,24888787.0,Odd
54,98283281.0,Odd
55,98518809.0,Odd
56,98058706.0,Even
57,89732208.0,Even
58,36625757.0,Odd
59,53874302.0,Even
60,93157695.0,Odd
61,640697.0,Odd
62,4708975.0,Odd
63,18092986.0,Even
64,70903373.0,Odd
65,106489757.0,Odd
66,98477970.0,Even
67,54554245.0,Odd
68,105153958.0,Even
69,106663486.0,Even
70,27481775.0,Odd
71,63957819.0,Odd
72,53879061.0,Odd
73,108225537.0,Odd
74,108225537.0,Odd
75,96670954.0,Even
76,109598751.0,Odd
77,96949511.0,Odd
78,98312571.0,Odd
79,68758442.0,Even
80,67574794.0,Even
81,106754870.0,Even
82,107854117.0,Odd
83,106712159.0,Odd
84,102575292.0,Even
85,104865291.0,Odd
86,26160049.0,Odd
87,52591665.0,Odd
88,12455213.0,Odd
89,58542133.0,Odd
90,98122922.0,Even
91,104227810.0,Even
92,43292706.0,Even
93,97911267.0,Odd
94,92400595.0,Odd
95,62655794.0,Even
96,15429343.0,Odd
97,15226070.0,Even
98,75190673.0,Odd
99,12851682.0,Even
100,62749808.0,Even
101,36038295.0,Odd
102,75810249.0,Odd
103,23725072.0,Even
104,18369486.0,Even
105,37277935.0,Odd
106,112472891.0,Odd
107,110851668.0,Even
108,58819851.0,Odd
109,91271825.0,Odd
110,98316140.0,Even
111,93124754.0,Even
112,76502199.0,Odd
113,66829677.0,Odd
114,44641073.0,Odd
115,60734932.0,Even
116,17618522.0,Even
117,55660246.0,Even
118,80010937.0,Odd
119,105016403.0,Odd
120,95877251.0,Odd
121,62050379.0,Odd
122,96727785.0,Odd
123,91776822.0,Even
124,813274.0,Even
125,64518750.0,Even
126,57608537.0,Odd
127,119320434.0,Even
128,122238789.0,Odd
129,95911436.0,Even
130,105998865.0,Odd
131,82301700.0,Even
132,121205602.0,Even
133,116322948.0,Even
134,115564264.0,Even
135,115525226.0,Even
136,15226070.0,Even
137,75190673.0,Odd
138,12851682.0,Even
139,62749808.0,Even
140,75810249.0,Odd
141,129471445.0,Odd
142,23746946.0,Even
143,63518997.0,Odd
144,27020571.0,Odd
145,45664167.0,Odd
146,37145475.0,Odd
147,22059807.0,Odd
148,92328166.0,Even
149,71029966.0,Even
150,122625968.0,Even
151,122626059.0,Odd
152,115077528.0,Even
153,12454380.0,Even
154,12480951.0,Odd
155,12496689.0,Odd
156,12652434.0,Even
157,12692969.0,Odd
158,12725966.0,Even
159,92611640.0,Even
160,120953039.0,Odd
161,12801654.0,Even
162,12843098.0,Even
163,13091597.0,Odd
164,13140292.0,Even
165,13377506.0,Even
166,13448324.0,Even
167,14171993.0,Odd
168,14318452.0,Even
169,14318520.0,Even
170,14376664.0,Even
171,14435852.0,Even
172,14681983.0,Odd
173,14732154.0,Even
174,15097423.0,Odd
175,15228345.0,Odd
176,15235546.0,Even
177,15290639.0,Odd
178,15570835.0,Odd
179,16392358.0,Even
180,16615350.0,Even
181,16621457.0,Odd
182,16728606.0,Even
183,16754403.0,Odd
184,16871589.0,Odd
185,17331040.0,Even
186,17604335.0,Odd
187,17914906.0,Even
188,18119190.0,Even
189,19037593.0,Odd
190,69897724.0,Even
191,19049195.0,Odd
192,67422291.0,Odd
193,19276936.0,Even
194,19351258.0,Even
195,19353942.0,Even
196,19610004.0,Even
197,19699503.0,Odd
198,19707217.0,Odd
199,19828394.0,Even
200,20090785.0,Odd
201,21075325.0,Odd
202,83251191.0,Odd
203,21512331.0,Odd
204,21516516.0,Even
205,21602744.0,Even
206,21656722.0,Even
207,21657241.0,Odd
208,21750575.0,Odd
209,21959587.0,Odd
210,21987023.0,Odd
211,21987221.0,Odd
212,22146031.0,Odd
213,22661224.0,Even
214,22661811.0,Odd
215,22669791.0,Odd
216,22841291.0,Odd
217,23150638.0,Even
218,23155388.0,Even
219,23250650.0,Even
220,23325172.0,Even
221,23416962.0,Even
